ner,count
россии,194645
сша,160375
риа новости,142575
владимирская область,55415
россия,50355
москве,45190
украины,35135
москва,34190
москвы,32805
владимир,28145
интерфакс,24140
итар-тасс,22855
reuters,22405
владимир путин,20305
россию,16805
оон,16625
сми,16490
германии,16420
китая,15900
белоруссии,15890
чечни,15300
великобритании,15250
чечне,15225
по его словам,14770
мчс,14720
тасс,14595
россией,14170
мид,13445
нтв,13165
интерфаксу,12555
москву,11965
мвд,11930
ссср,11460
украине,11140
франции,11050
госдумы,10815
путин,10805
китай,10640
эхо москвы,10225
воз,10200
японии,9860
израиля,9850
между,9805
рбк,9685
twitter,9665
нато,9435
фсб,9215
вашингтон,9025
associated press,8900
так,8890
умвд,8880
сирии,8870
украина,8790
китае,8550
турции,8550
европе,8290
если,8255
владимира путина,8170
минобороны,7625
всемирная организация здравоохранения,7570
они,7530
cnn,7485
италии,7460
сейчас,7380
facebook,7220
светлана орлова,7160
все,7020
таким образом,6890
ввс,6855
она,6810
вместе,6760
следственное управление,6760
ирана,6755
ранее,6725
при,6605
теперь,6595
кнр,6475
киев,6120
минздрава,6110
ковров,5985
гибдд,5815
тем,5810
грузии,5805
белый дом,5795
вашингтоне,5750
после,5750
белого дома,5635
кроме того,5610
испании,5600
северном кавказе,5590
дональда трампа,5535
bloomberg,5500
instagram,5465
интернет,5435
